"Instituto","Campus","Co_unidade_ensino","Cidade","Sigla"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS AVANÇADO PORTO FRANCO","42115","PORTO FRANCO","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS PRESIDENTE DUTRA","42175","PRESIDENTE DUTRA","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS AVANÇADO ROSÁRIO","42173","ROSÁRIO","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS SANTA INÊS","2911","SANTA INÊS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS SÃO JOÃO DOS PATOS","20096","SÃO JOÃO DOS PATOS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS SÃO JOSÉ DE RIBAMAR","42176","SÃO JOSÉ DE RIBAMAR","MA"
"IFMA","CENTRO DE REFERENCIA TECNOLOGICA","45166","SÃO LUÍS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS SÃO LUÍS CENTRO HISTÓRICO","2909","SÃO LUÍS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS SÃO LUÍS MARACANÃ","2903","SÃO LUÍS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS SÃO LUÍS MONTE CASTELO","2901","SÃO LUÍS","MA"
"UNIVERSIDADE FEDERAL DO MARANHÃO","COLÉGIO UNIVERSITÁRIO","12973","SÃO LUÍS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS SÃO RAIMUNDO DAS MANGABEIRAS","2907","SÃO RAIMUNDO DAS MANGABEIRAS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS TIMON","20381","TIMON","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS VIANA","42070","VIANA","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS ZÉ DOCA","2906","ZÉ DOCA","MA"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS ALTA FLORESTA","31984","ALTA FLORESTA","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS BARRA DO GARÇAS","20246","BARRA DO GARÇAS","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS CÁCERES","2968","CÁCERES","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS CAMPO NOVO DO PARECIS","3483","CAMPO NOVO DO PARECIS","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS CONFRESA","13511","CONFRESA","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS CUIABÁ","2966","CUIABÁ","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS CUIABÁ BELA VISTA","2967","CUIABÁ","MT"
