"INICIO","CICLO","CURSO_SISTEC","CURSO_QACADEMICO","CAMPUS"
"2019.2",2631581,"LICENCIATURA EM COMPUTAÇÃO","LICENCIATURA EM COMPUTAÇÃO - AF","AFOGADOS DA INGAZEIRA"
"2020.1",2679901,"LICENCIATURA EM COMPUTAÇÃO","LICENCIATURA EM COMPUTAÇÃO - AF","AFOGADOS DA INGAZEIRA"
"2019.1",2581254,"FÍSICA","LICENCIATURA EM FÍSICA","PESQUEIRA"
"2019.1",2592443,"GEOGRAFIA","LICENCIATURA EM GEOGRAFIA","RECIFE"
"2019.2",2628203,"GEOGRAFIA","LICENCIATURA EM GEOGRAFIA - EAD 2014_1","EAD"
"2019.1",2581300,"MATEMÁTICA","LICENCIATURA EM MATEMÁTICA","PESQUEIRA"
"2019.1",2578019,"MÚSICA","LICENCIATURA EM MÚSICA BJ 20141","BELO JARDIM"
"2019.1",2592244,"QUÍMICA","LICENCIATURA EM QUÍMICA","IPOJUCA"
"2019.1",2591689,"QUÍMICA","LICENCIATURA EM QUÍMICA","BARREIROS"
"2020.1",2682839,"QUÍMICA","LICENCIATURA EM QUÍMICA","BARREIROS"
"2019.1",2582944,"QUÍMICA","LICENCIATURA PLENA EM QUÍMICA VT 2014_1","VITÓRIA DE SANTO ANTÃO"
"2019.2",2675470,"LINGUA INGLESA INTERMEDIARIO I","LÍNGUA INGLESA - INTERMEDIÁRIO I","PESQUEIRA"
"2019.2",2639750,"MESTRADO PROFISSIONAL EM EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA EM REDE NACIONAL (PROFEPT)","MESTRADO PROFISSIONAL EM EDUCAÇÃO PROFISSIONAL E TECNOLOGICA EM REDE NACIONAL","OLINDA"
"2019.1",2673813,"MESTRADO PROFISSIONAL EM GESTÃO AMBIENTAL","MESTRADO PROFISSIONAL EM GESTÃO AMBIENTAL - RC","RECIFE"
"2019.2",2671235,"ESPECIALIZAÇÃO EM PRÁTICAS INTERPRETATIVAS EM MÚSICA POPULAR COM ÊNFASE EM FREVO","PÓS-GRADUAÇÃO LATO SENSU EM PRÁTICAS INTERPRETATIVAS EM MÚSICA POPULAR COM ÊNFASE NO FREVO","RECIFE"
"2019.1",2608962,"PROIFPE PERMANÊNCIA","PRÉ CÁLCULO","PESQUEIRA"
"2019.1",2609007,"PRO IFPE PERMANÊNCIA","PRÉ FÍSICA - PS","PESQUEIRA"
"2019.2",2675446,"PREMISSAS DA PESQUISA QUALITATIVA EM SAÚDE","PREMISSAS DA PESQUISA QUALITATIVA EM SAÚDE","PESQUEIRA"
"2019.1",2611934,"PRO","PRO-ENEM-IFPE 2019 - BJ","BELO JARDIM"
"2019.1",2591737,"OPERADOR DE COMPUTADOR NA MODALIDADE PROEJA","PROEJA - ENS_ MED_ PROF_ EM OPERADOR DE COMPUTAÇÃO","BARREIROS"
"2020.1",2681579,"OPERADOR DE COMPUTADOR NA MODALIDADE PROEJA","PROEJA - ENS_ MED_ PROF_ EM OPERADOR DE COMPUTAÇÃO","BARREIROS"
